"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","783fa87a-30f5-4f86-84b8-b48e501c109d","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/162497031/162497031-001_ac.jpg","","ratified-indian-treaties","162497031","","","","-1","1","",""
"Image","1","1","ef9a41e3-08b9-4468-8d53-7ed5c322316e","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/162497031/162497031-002_ac.jpg","","ratified-indian-treaties","162497031","","","","-1","2","",""
"Image","2","1","ada1b76a-8f3b-4df1-8fb4-67de3ae85045","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/162497031/162497031-003_ac.jpg","","ratified-indian-treaties","162497031","","","","-1","3","",""
