"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","e4bfdebf-664d-44fe-8038-ec2c66188fe8","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148029705/148029705-001-ac.jpg","","ratified-indian-treaties","148029705","","","","-1","1","",""
"Image","1","1","acc39b28-93e6-4f07-bb5c-5b4fb9788ba1","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148029705/148029705-002-ac.jpg","","ratified-indian-treaties","148029705","","","","-1","2","",""
"Image","2","1","a68fe4ce-b567-4ce9-b71c-172e373091e0","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148029705/148029705-003-ac.jpg","","ratified-indian-treaties","148029705","","","","-1","3","",""
