"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","d4c6b2e4-7e2a-41ed-8792-1923fff9220d","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148026684/148026684-001-ac.jpg","","ratified-indian-treaties","148026684","","","","-1","1","",""
"Image","1","1","5394f3e7-9b91-4940-a1dd-a329a2631f47","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148026684/148026684-002-ac.jpg","","ratified-indian-treaties","148026684","","","","-1","2","",""
"Image","2","1","4e8e55be-0c31-486a-9df1-e2c723886674","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148026684/148026684-003-ac.jpg","","ratified-indian-treaties","148026684","","","","-1","3","",""
"Image","3","1","2d375912-cd5f-4acc-91f6-7e2213b52b74","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148026684/148026684-004-ac.jpg","","ratified-indian-treaties","148026684","","","","-1","4","",""
"Image","4","1","2b5db44e-f73b-4f0a-92b4-b4be0075fa6a","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148026684/148026684-005-ac.jpg","","ratified-indian-treaties","148026684","","","","-1","5","",""
"Image","5","1","08b154d3-bac0-464b-ad6b-33c1bba7286e","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148026684/148026684-006-ac.jpg","","ratified-indian-treaties","148026684","","","","-1","6","",""
"Image","6","1","f7f9189d-65cb-47a3-b286-15883b01a12e","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148026684/148026684-007-ac.jpg","","ratified-indian-treaties","148026684","","","","-1","7","",""
"Image","7","1","ee66052d-1f9d-4720-a5ee-0fae872904b1","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148026684/148026684-008-ac.jpg","","ratified-indian-treaties","148026684","","","","-1","8","",""
"Image","8","1","23b06af2-fba5-49ee-a8a7-64fdd83a0c88","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148026684/148026684-009-ac.jpg","","ratified-indian-treaties","148026684","","","","-1","9","",""
"Image","9","1","9e8ec000-8135-4fce-9926-7fbabb1fcd79","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148026684/148026684-010-ac.jpg","","ratified-indian-treaties","148026684","","","","-1","10","",""
