"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","926da4d2-929e-4e7a-b341-9d1711d1bf9d","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/100358199/100358199-001_ac.jpg","","ratified-indian-treaties","100358199","","","","-1","1","",""
"Image","1","1","037000bb-6c0a-456d-ac3d-103a6982caeb","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/100358199/100358199-002_ac.jpg","","ratified-indian-treaties","100358199","","","","-1","2","",""
"Image","2","1","c6653471-e32d-4046-a5be-f994c20192a7","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/100358199/100358199-003_ac.jpg","","ratified-indian-treaties","100358199","","","","-1","3","",""
