"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","9ba22198-11c3-48fd-b21a-a2d9f30b8888","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148028117/148028117-001-ac.jpg","","ratified-indian-treaties","148028117","","","","-1","1","",""
"Image","1","1","c883d6a6-4bca-41ab-85d1-3bd585358343","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148028117/148028117-002-ac.jpg","","ratified-indian-treaties","148028117","","","","-1","2","",""
"Image","2","1","8ee72b21-39dc-487e-aa6f-9565e7de49e3","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148028117/148028117-003-ac.jpg","","ratified-indian-treaties","148028117","","","","-1","3","",""
