"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","6534c142-01ed-4895-923e-1ee933ca7fdb","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/167772509/167772509-001_ac.jpg","","ratified-indian-treaties","167772509","","","","-1","1","",""
"Image","1","1","f415ceb1-f90e-4e48-9f11-7dac063d5905","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/167772509/167772509-002_ac.jpg","","ratified-indian-treaties","167772509","","","","-1","2","",""
"Image","2","1","e7802646-9451-40f0-92d1-077032d0515e","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/167772509/167772509-003_ac.jpg","","ratified-indian-treaties","167772509","","","","-1","3","",""
