"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","7da9c807-fc05-4850-bead-08349f3e3a7b","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148017351/148017351-001-ac.jpg","","ratified-indian-treaties","148017351","","","","-1","1","",""
"Image","1","1","8f48641c-08e7-4219-b9f4-67f83f4f1360","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148017351/148017351-002-ac.jpg","","ratified-indian-treaties","148017351","","","","-1","2","",""
"Image","2","1","b8657cb0-cad6-4d69-857a-2e05313841a2","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148017351/148017351-003-ac.jpg","","ratified-indian-treaties","148017351","","","","-1","3","",""
"Image","3","1","c46d64e8-68b5-4ce1-91b6-7693a9527445","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148017351/148017351-004-ac.jpg","","ratified-indian-treaties","148017351","","","","-1","4","",""
"Image","4","1","b641a5a0-ff4d-4d69-9d5a-6eb2f6232106","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148017351/148017351-005-ac.jpg","","ratified-indian-treaties","148017351","","","","-1","5","",""
"Image","5","1","44124626-7bdc-4607-a1b0-2f0cc72902cb","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148017351/148017351-006-ac.jpg","","ratified-indian-treaties","148017351","","","","-1","6","",""
"Image","6","1","a6788190-8830-44d0-bd4c-b01740368232","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148017351/148017351-007-ac.jpg","","ratified-indian-treaties","148017351","","","","-1","7","",""
"Image","7","1","38072053-bb45-489e-97dd-5ff8f511ac8a","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148017351/148017351-008-ac.jpg","","ratified-indian-treaties","148017351","","","","-1","8","",""
"Image","8","1","9f7cb273-f8a8-48be-9e56-2f7b60be02e9","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148017351/148017351-009-ac.jpg","","ratified-indian-treaties","148017351","","","","-1","9","",""
