"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","a25aa063-a97f-4276-a93b-2e2053564e6d","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/161378335/161378335-001_ac.jpg","","ratified-indian-treaties","161378335","","","","-1","1","",""
"Image","1","1","cf05f6b2-a405-4bec-b35d-678517371aa7","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/161378335/161378335-002_ac.jpg","","ratified-indian-treaties","161378335","","","","-1","2","",""
"Image","2","1","8186878a-45a2-44ae-ba14-7599d6ca2036","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/161378335/161378335-003_ac.jpg","","ratified-indian-treaties","161378335","","","","-1","3","",""
"Image","3","1","0c0f6dc5-e44f-4672-b9a1-00cb0b7a6f37","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/161378335/161378335-004_ac.jpg","","ratified-indian-treaties","161378335","","","","-1","4","",""
"Image","4","1","224c8cda-7b61-42e2-a890-08e8c8debe36","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/161378335/161378335-005_ac.jpg","","ratified-indian-treaties","161378335","","","","-1","5","",""
