"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","e25e87ce-ca46-4718-afe2-0dc0b1788be2","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/86753387/86753387-001_ac.jpg","","ratified-indian-treaties","86753387","","","","-1","1","",""
"Image","1","1","28551fd6-35d4-4bc2-81fb-5e2faafe6f6a","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/86753387/86753387-002_ac.jpg","","ratified-indian-treaties","86753387","","","","-1","2","",""
"Image","2","1","a31d93ac-976f-48c7-adf8-75413c94e271","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/86753387/86753387-003_ac.jpg","","ratified-indian-treaties","86753387","","","","-1","3","",""
"Image","3","1","90317001-da10-4d1c-b8c2-8a3b960c2d67","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/86753387/86753387-004_ac.jpg","","ratified-indian-treaties","86753387","","","","-1","4","",""
"Image","4","1","945d8a74-dfb3-4fdc-bf9e-071fa80dd6a4","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/86753387/86753387-005_ac.jpg","","ratified-indian-treaties","86753387","","","","-1","5","",""
"Image","5","1","4c44925a-8ae9-4a14-b002-55b44f710942","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/86753387/86753387-006_ac.jpg","","ratified-indian-treaties","86753387","","","","-1","6","",""
"Image","6","1","43935d85-da85-4249-a30d-bb2da387ae7f","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/86753387/86753387-007_ac.jpg","","ratified-indian-treaties","86753387","","","","-1","7","",""
