"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","049df51a-3279-47ec-a0a6-bbb420b2e89b","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-001_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","1","",""
"Image","1","1","a265c0db-90ad-4f07-ba1a-01cdb57c5266","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-002_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","2","",""
"Image","2","1","25750484-7c91-4233-a8a2-a68ee8775518","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-003_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","3","",""
"Image","3","1","e2bfaba9-3e03-4d9a-9c01-c8cec8785dae","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-004_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","4","",""
"Image","4","1","aa26ddc2-b709-4105-abd7-99c9c1d4fa1b","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-005_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","5","",""
"Image","5","1","9dba76a4-eb1e-4a07-9f5a-cb7aa817e24f","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-006_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","6","",""
"Image","6","1","8248f0cc-fb13-448e-aff0-cb23990a0682","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-007_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","7","",""
"Image","7","1","500bf370-a5cf-45f7-8d7f-63007cd2e68b","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-008_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","8","",""
"Image","8","1","83a055b6-a9cb-48a2-8972-be864afcf18b","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-009_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","9","",""
"Image","9","1","14fc4cac-f03d-4b1c-8c23-e27a0d4fa7d4","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-010_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","10","",""
"Image","10","1","173a61c7-ed1b-46c9-822a-f9adc8df8c8b","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-011_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","11","",""
"Image","11","1","fa5e7686-efdc-4c05-8474-4ea8cd8994ec","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-012_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","12","",""
"Image","12","1","3fa55ab6-7a08-4486-9024-382f5abbda4a","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-013_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","13","",""
"Image","13","1","ea19d452-3c5c-4964-8356-5cd8d5542239","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74859408/74859408-014_ac.jpg","","ratified-indian-treaties","74859408","","","","-1","14","",""
