"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","c0bcbae0-b532-4345-8285-61d5881415c4","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-001_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","1","",""
"Image","1","1","ce7d1850-991a-4f1b-b5d1-b29479dfa38d","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-002_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","2","",""
"Image","2","1","f6586cd6-115a-4c7a-878a-28e5e7ee8589","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-003_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","3","",""
"Image","3","1","e55aede1-8d4a-40b6-8994-c4daab2ad1cb","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-004_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","4","",""
"Image","4","1","7188ad3b-4914-4763-8eb8-eebca7ce73a8","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-005_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","5","",""
"Image","5","1","b238e66d-497c-45d9-9827-b45deee25923","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-006_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","6","",""
"Image","6","1","25bca09b-011f-4c54-8763-537825cb6ba3","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-007_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","7","",""
"Image","7","1","c79da35d-0320-495c-bfdb-31f934bf6bfc","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-008_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","8","",""
"Image","8","1","975f2ac5-ce85-41b8-9ca4-171f692a6230","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-009_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","9","",""
"Image","9","1","9bc48cd8-67f7-4e05-94d7-8b92de5007e6","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-010_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","10","",""
"Image","10","1","ad279bc8-e0e3-40a2-b593-8c12717d4fe3","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-011_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","11","",""
"Image","11","1","0572da34-dcaf-4513-a32e-c09b4c9d287e","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-012_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","12","",""
"Image","12","1","f2811ad5-6efd-4e8a-a494-987121d45343","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-013_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","13","",""
"Image","13","1","8527762d-3988-47db-b0b8-bd3d10106bb6","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-014_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","14","",""
"Image","14","1","658bf729-1263-4ccb-a32d-59510de4eca3","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-015_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","15","",""
"Image","15","1","22f83bc1-54df-4813-ba52-9df0135a23d8","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-016_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","16","",""
"Image","16","1","c4113edd-9d65-4460-937e-159e6d52dbe3","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-017_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","17","",""
"Image","17","1","1d42785e-ea32-4e1f-b85d-620d8c523832","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-018_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","18","",""
"Image","18","1","4e772137-d60c-4634-896c-70908804f721","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/82510612/82510612-019_ac.jpg","","ratified-indian-treaties","82510612","","","","-1","19","",""
