"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","83fc52d0-7e8a-477e-8719-94fb35102564","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74895979/74895979-001-ac.jpg","","ratified-indian-treaties","74895979","","","","-1","1","",""
"Image","1","1","430d2c45-aeae-4aaa-aac5-d7f10c8d4c58","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74895979/74895979-002-ac.jpg","","ratified-indian-treaties","74895979","","","","-1","2","",""
"Image","2","1","63762666-139b-44e7-b53d-7ead1e2706cc","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/74895979/74895979-003-ac.jpg","","ratified-indian-treaties","74895979","","","","-1","3","",""
