"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","bbd46ad4-182c-450d-980e-9bbdf997b279","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/146161986/146161986-001-ac.jpg","","ratified-indian-treaties","146161986","","","","-1","1","",""
"Image","1","1","684d2e32-472e-4656-90f4-888b58d10811","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/146161986/146161986-002-ac.jpg","","ratified-indian-treaties","146161986","","","","-1","2","",""
"Image","2","1","0493e863-de30-4585-b4bd-77beeb6a0213","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/146161986/146161986-003-ac.jpg","","ratified-indian-treaties","146161986","","","","-1","3","",""
