"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","f1a2b5f2-5a8c-4d1b-81af-967cae25b5b8","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/81131944/81131944-001_ac.jpg","","ratified-indian-treaties","81131944","","","","-1","1","",""
"Image","1","1","d103a634-9d20-441b-86fd-2a3b9d82ab55","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/81131944/81131944-002_ac.jpg","","ratified-indian-treaties","81131944","","","","-1","2","",""
"Image","2","1","9ffcc7e7-16fb-4b18-b032-f46d768861ce","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/81131944/81131944-003_ac.jpg","","ratified-indian-treaties","81131944","","","","-1","3","",""
