"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","b1b0b5d9-5810-4c24-af2c-66001648b730","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/119866704/119866704-001-ac.jpg","","ratified-indian-treaties","119866704","","","","-1","1","",""
"Image","1","1","48be14b4-4a76-48a4-a0b6-0e26f9c57414","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/119866704/119866704-002-ac.jpg","","ratified-indian-treaties","119866704","","","","-1","2","",""
"Image","2","1","cdaee38a-f91a-4803-9fd5-08d7d8214263","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/119866704/119866704-003-ac.jpg","","ratified-indian-treaties","119866704","","","","-1","3","",""
