"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","e1dcb36a-b2e2-482c-a6f8-e01034124adc","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124063342/124063342-001-ac.jpg","","ratified-indian-treaties","124063342","","","","-1","1","",""
"Image","1","1","252be6b7-94a9-4d7d-beaf-6bddcaea428a","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124063342/124063342-002-ac.jpg","","ratified-indian-treaties","124063342","","","","-1","2","",""
"Image","2","1","fda99de0-d03a-408a-bc18-536d75f216a5","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124063342/124063342-003-ac.jpg","","ratified-indian-treaties","124063342","","","","-1","3","",""
