"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","7c08cd1a-559c-41fc-94d6-5a22141ad592","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148030351/148030351-001-ac.jpg","","ratified-indian-treaties","148030351","","","","-1","1","",""
"Image","1","1","fdc68ec0-2401-4bee-a2f8-72bc4e9594df","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148030351/148030351-002-ac.jpg","","ratified-indian-treaties","148030351","","","","-1","2","",""
"Image","2","1","edf9108c-e568-4b27-ac79-468b357d2216","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/148030351/148030351-003-ac.jpg","","ratified-indian-treaties","148030351","","","","-1","3","",""
