"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","13e9e5d8-9461-469f-b5c6-2a282e2dee1b","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/100358199/100358199-001_ac.jpg","","ratified-indian-treaties","100358199","","","","-1","1","",""
"Image","1","1","460334dd-8868-4b4b-b7fc-1532d67d81e0","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/100358199/100358199-002_ac.jpg","","ratified-indian-treaties","100358199","","","","-1","2","",""
"Image","2","1","3f8db12e-cfd8-4ce8-a1ad-fc93e1e18b08","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/100358199/100358199-003_ac.jpg","","ratified-indian-treaties","100358199","","","","-1","3","",""
