"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","6b9c124a-ce68-4fe3-ab32-239b358575ae","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/85149413/85149413-001_ac.jpg","","ratified-indian-treaties","85149413","","","","-1","1","",""
"Image","1","1","e42f7340-d01d-40c6-a66a-9ab198453dab","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/85149413/85149413-002_ac.jpg","","ratified-indian-treaties","85149413","","","","-1","2","",""
"Image","2","1","cedc05ff-f54a-4f53-a325-72f54529df68","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/85149413/85149413-003_ac.jpg","","ratified-indian-treaties","85149413","","","","-1","3","",""
