"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","361b8803-696f-47a2-b466-d2308d12c77c","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/169165620/169165620-001_ac.jpg","","ratified-indian-treaties","169165620","","","","-1","1","",""
"Image","1","1","c0cc26ce-ff8a-4fc4-8d05-3988d71bc4ac","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/169165620/169165620-002_ac.jpg","","ratified-indian-treaties","169165620","","","","-1","2","",""
"Image","2","1","e0e2dbae-98dc-4a0f-8cf7-2211239334a4","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/169165620/169165620-003_ac.jpg","","ratified-indian-treaties","169165620","","","","-1","3","",""
"Image","3","1","9021594c-6bf6-48e5-bd12-9e75866d8786","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/169165620/169165620-004_ac.jpg","","ratified-indian-treaties","169165620","","","","-1","4","",""
"Image","4","1","a8292b52-df40-4e72-b40b-0aabcc469e58","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/169165620/169165620-005_ac.jpg","","ratified-indian-treaties","169165620","","","","-1","5","",""
"Image","5","1","1de6fa5b-8905-40ac-a110-14b235757869","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/169165620/169165620-006_ac.jpg","","ratified-indian-treaties","169165620","","","","-1","6","",""
