Organization Term Name,Variant Organization Name(s) (each term separated by ;),Catalog URL
Manzanita Band of the Kumeyaay Nation,"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation; Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California",https://catalog.archives.gov/id/178931324
Menominee Indian Tribe of Wisconsin,N/A,https://catalog.archives.gov/id/175776216
Mesa Grande Band of Diegueno Mission Indians,"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation; Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California; Mesa Grande Band of Mission Indians, California",https://catalog.archives.gov/id/178931331
Minnesota Chippewa Tribe. Bois Forte Band of Chippewa,Bois Forte Band of Chippewa; Bois Forte Band;  Bois Forte Tribe,https://catalog.archives.gov/id/10443808
Minnesota Chippewa Tribe. Fond du Lac Band of Lake Superior Chippewa,"Fond du Lac Band of Lake Superior Chippewa  ; Fond du Lac Band of Chippewa Indians; Fond du Lac Band of Chippewas, Minnesota",https://catalog.archives.gov/id/10443807
Minnesota Chippewa Tribe. Leech Lake Band of Ojibwe,"Leech Lake Band of Ojibwe ; Leech Lake Band of Chippewa Indians; Leech Lake Band
",https://catalog.archives.gov/id/178960732
Minnesota Chippewa Tribe. White Earth Nation,"White Earth Band of Chippewa Indians; White Earth Nation White Earth Band of Chippewas, Minnesota; White Earth Band; White Earth Band of Chippewas, Minnesota; White Earth Band of Ojibwe",https://catalog.archives.gov/id/10444182
Mission Creek Band of Mission Indians,N/A,https://catalog.archives.gov/id/178931334
"Morongo Band of Mission Indians, California","Morongo Band of Mission Indians; Morongo Band of Cahuilla Mission Indians of the Morongo Reservation, California
",https://catalog.archives.gov/id/178931339
Muscogee (Creek) Nation,"Muscogee Nation
",https://catalog.archives.gov/id/176203902
Navajo Nation,N/A,https://catalog.archives.gov/id/10446076
Nez Perce Tribe,N/A,https://catalog.archives.gov/id/10446758
Nooksack Indian Tribe of Washington,Nooksack Tribe,https://catalog.archives.gov/id/175776243
Northern Cheyenne Tribe,N/A,https://catalog.archives.gov/id/10446357
Northwestern Band of the Shoshone Nation,Northwestern Band of Shoshone Nation; Northwestern Band of Shoshoni Nation of Utah (Washakie) ,https://catalog.archives.gov/id/178931342
Oglala Sioux Tribe,N/A,https://catalog.archives.gov/id/10446757
Omaha Tribe of Nebraska,N/A,https://catalog.archives.gov/id/10444831
Osage Nation,N/A,https://catalog.archives.gov/id/10442289
Pala Band of Mission Indians,N/A,https://catalog.archives.gov/id/176203315
Pechanga Band of Luiseno Indians,"Pechanga Band of Mission Indians; Pechanga Band of Luiseno Mission Indians ; Pechanga Band of Mission Indians; Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation, California; Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation; Pechanga Band of Luiseno Mission Indians of California; Temecula Band of Luiseno Mission Indians; Pechanga Band; Pechanga Band of Indians of California; Temecula Band in California",https://catalog.archives.gov/id/10443053
Prairie Band Potawatomi Nation,Prairie Band Of Potawatomi Nation,https://catalog.archives.gov/id/175704069
"Pueblo of Acoma, New Mexico","Pueblo de Acoma, New Mexico; Acoma; Acoma Indians",https://catalog.archives.gov/id/176213827
"Pueblo of Isleta, New Mexico","Isleta Pueblo, New Mexico; Isleta Pueblo; Tue-I",https://catalog.archives.gov/id/176213805
Pueblo of Santa Clara,Santa Clara Pueblo,https://catalog.archives.gov/id/175776458
"Pueblo of Taos, New Mexico",Taos Pueblo; Pueblo de Taos ,https://catalog.archives.gov/id/175776453
Quileute Indian Tribe,N/A,https://catalog.archives.gov/id/10442550
Red Lake Band of Chippewa Indians,N/A,https://catalog.archives.gov/id/10443804
Rincon Band of Luiseno Indians,"Rincon Band of Luiseno Mission Indians of the Rincon Reservation, California; Rincon, San Luiseno Band of Mission Indians, California; Payomkawichum",https://catalog.archives.gov/id/178959477
Rosebud Sioux Tribe,N/A,https://catalog.archives.gov/id/10443825
Round Valley Indian Tribes,"Round Valley Indian Tribes, Round Valley Reservation, California; Round Valley Indian Tribes; RVIT (Round Valley Indian Tribes)
",https://catalog.archives.gov/id/178959488
